epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1339.82,0.69381,0.3682,0.87262,0.91305,0.8553,0.91086,0.6971,1.06371,0.5066,0.98704,0.000132098,0.000132098,0.000132098
91,1356.1,0.69365,0.35869,0.87298,0.91129,0.85048,0.91007,0.70163,1.0601,0.50615,0.98883,0.000121099,0.000121099,0.000121099
92,1370.2,0.68448,0.34984,0.86671,0.90687,0.85277,0.91205,0.70165,1.06142,0.5134,0.99456,0.0001101,0.0001101,0.0001101
93,1384.15,0.67354,0.34487,0.86341,0.87314,0.87152,0.90906,0.69888,1.06919,0.51612,0.99797,9.91012e-05,9.91012e-05,9.91012e-05
94,1398.33,0.67326,0.34184,0.86079,0.89707,0.88294,0.91272,0.70747,1.06019,0.50604,0.99385,8.81023e-05,8.81023e-05,8.81023e-05
95,1412.34,0.66578,0.33935,0.85882,0.88277,0.87302,0.90565,0.70043,1.0607,0.51168,0.98874,7.71034e-05,7.71034e-05,7.71034e-05
96,1426.26,0.66409,0.33894,0.85982,0.88133,0.88048,0.90542,0.70015,1.05936,0.51088,0.98699,6.61045e-05,6.61045e-05,6.61045e-05
97,1440.39,0.65183,0.33403,0.85922,0.88829,0.86979,0.90411,0.6986,1.06347,0.50764,0.99104,5.51056e-05,5.51056e-05,5.51056e-05
98,1454.61,0.65406,0.3356,0.85935,0.90771,0.84725,0.90674,0.69998,1.06423,0.509,0.98911,4.41067e-05,4.41067e-05,4.41067e-05
99,1468.49,0.64289,0.32693,0.85508,0.90671,0.83737,0.90751,0.70376,1.06079,0.50466,0.98454,3.31078e-05,3.31078e-05,3.31078e-05
100,1482.28,0.64481,0.33307,0.85982,0.91386,0.84616,0.91147,0.70246,1.06227,0.50543,0.9868,2.21089e-05,2.21089e-05,2.21089e-05
